[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/customer/customerRefush/{name}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<com.lb.ssm.vo.Customer> com.lb.ssm.controller.CustomerController.customerpageRefush(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/customer/addCustomer],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.CustomerController.addCustomer(com.lb.ssm.vo.Customer)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/subList],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.subList()
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/subInfoById/{subId}],methods=[],params=[],headers=[],consumes=[],produces=[text/html;charset=UTF-8],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.lb.ssm.controller.SubdistrictController.subInfoById(java.lang.Integer) throws java.io.IOException
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/addSubdist],methods=[POST || GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.addSubdist(com.lb.ssm.vo.Subdistrict,org.springframework.web.multipart.MultipartFile[],javax.servlet.http.HttpServletRequest) throws java.lang.Exception
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/subpage],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.subpage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException,java.io.IOException
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/exprtSubdist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.exprtSubdist(javax.servlet.http.HttpServletResponse) throws java.io.IOException
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/subInfo/{subId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.lb.ssm.controller.SubdistrictController.subInfo(java.lang.Integer)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/subdistRefush/{name}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.subdistRefush(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/modifySubInfo/{subId}],methods=[],params=[],headers=[],consumes=[],produces=[text/html;charset=UTF-8],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.modifySubInfo(java.lang.Integer) throws java.io.IOException
